District,Month,Cases,Year
Trincomalee,6,5,2010
Vavuniya,6,1,2010
Ampara,7,0,2010
Anuradhapura,7,8,2010
Badulla,7,8,2010
Batticaloa,7,0,2010
Colombo,7,36,2010
Galle,7,15,2010
Gampaha,7,29,2010
Hambantota,7,9,2010
Jaffna,7,0,2010
Kalutara,7,36,2010
Kandy,7,15,2010
Kegalle,7,41,2010
Kilinochchi,7,0,2010
Kurunegala,7,23,2010
Mannar,7,0,2010
Matale,7,4,2010
Matara,7,9,2010
Monaragala,7,0,2010
Mullaitivu,7,0,2010
Nuwara Eliya,7,5,2010
Polonnaruwa,7,3,2010
Puttalam,7,2,2010
Ratnapura,7,38,2010
Trincomalee,7,5,2010
Vavuniya,7,0,2010
Ampara,8,1,2010
Anuradhapura,8,8,2010
Badulla,8,12,2010
Batticaloa,8,0,2010
Colombo,8,32,2010
Galle,8,7,2010
Gampaha,8,29,2010
Hambantota,8,6,2010
Jaffna,8,0,2010
Kalutara,8,21,2010
Kandy,8,11,2010
Kegalle,8,16,2010
Kilinochchi,8,1,2010
Kurunegala,8,13,2010
Mannar,8,0,2010
Matale,8,4,2010
Matara,8,29,2010
Monaragala,8,3,2010
Mullaitivu,8,0,2010
Nuwara Eliya,8,0,2010
Polonnaruwa,8,2,2010
Puttalam,8,4,2010
Ratnapura,8,27,2010
Trincomalee,8,2,2010
Vavuniya,8,0,2010
Ampara,9,0,2010
Anuradhapura,9,6,2010
Badulla,9,8,2010
Batticaloa,9,1,2010
Colombo,9,44,2010
Galle,9,18,2010
Gampaha,9,71,2010
Hambantota,9,6,2010
Jaffna,9,0,2010
Kalutara,9,59,2010
Kandy,9,14,2010
Kegalle,9,42,2010
Kilinochchi,9,2,2010
Kurunegala,9,20,2010
Mannar,9,0,2010
Matale,9,10,2010
Matara,9,68,2010
Monaragala,9,2,2010
Mullaitivu,9,0,2010
Nuwara Eliya,9,2,2010
Polonnaruwa,9,2,2010
Puttalam,9,5,2010
Ratnapura,9,29,2010
Trincomalee,9,0,2010
Vavuniya,9,0,2010
Ampara,10,0,2010
Anuradhapura,10,8,2010
Badulla,10,10,2010
Batticaloa,10,2,2010
Colombo,10,64,2010
Galle,10,61,2010
Gampaha,10,110,2010
Hambantota,10,5,2010
Jaffna,10,0,2010
Kalutara,10,56,2010
Kandy,10,30,2010
Kegalle,10,90,2010
Kilinochchi,10,0,2010
Kurunegala,10,49,2010
Mannar,10,0,2010
Matale,10,12,2010
Matara,10,36,2010
Monaragala,10,1,2010
Mullaitivu,10,0,2010
Nuwara Eliya,10,6,2010
Polonnaruwa,10,8,2010
Puttalam,10,5,2010
Ratnapura,10,53,2010
Trincomalee,10,8,2010
Vavuniya,10,0,2010
Ampara,11,1,2010
Anuradhapura,11,11,2010
Badulla,11,8,2010
Batticaloa,11,0,2010
Colombo,11,37,2010
Galle,11,14,2010
Gampaha,11,73,2010
Hambantota,11,11,2010
Jaffna,11,0,2010
Kalutara,11,49,2010
Kandy,11,47,2010
Kegalle,11,55,2010
Kilinochchi,11,0,2010
Kurunegala,11,50,2010
Mannar,11,0,2010
Matale,11,13,2010
Matara,11,34,2010
Monaragala,11,6,2010
Mullaitivu,11,0,2010
Nuwara Eliya,11,4,2010
Polonnaruwa,11,22,2010
Puttalam,11,4,2010
Ratnapura,11,26,2010
Trincomalee,11,10,2010
Vavuniya,11,0,2010
Ampara,12,3,2010
Anuradhapura,12,31,2010
Badulla,12,4,2010
Batticaloa,12,1,2010
Colombo,12,49,2010
Galle,12,34,2010
Gampaha,12,50,2010
Hambantota,12,18,2010
Jaffna,12,0,2010
Kalutara,12,30,2010
Kandy,12,27,2010
Kegalle,12,57,2010
Kilinochchi,12,0,2010
Kurunegala,12,37,2010
Mannar,12,7,2010
Matale,12,34,2010
Matara,12,24,2010
Monaragala,12,11,2010
Mullaitivu,12,8,2010
Nuwara Eliya,12,3,2010
Polonnaruwa,12,16,2010
Puttalam,12,5,2010
Ratnapura,12,19,2010
Trincomalee,12,7,2010
Vavuniya,12,1,2010
Ampara,1,8,2011
Anuradhapura,1,25,2011
Badulla,1,2,2011
Batticaloa,1,0,2011
Colombo,1,31,2011
Galle,1,10,2011
Gampaha,1,13,2011
Hambantota,1,6,2011
Jaffna,1,0,2011
Kalutara,1,8,2011
Kandy,1,7,2011
Kegalle,1,12,2011
Kilinochchi,1,0,2011
Kurunegala,1,17,2011
Mannar,1,3,2011
Matale,1,14,2011
Matara,1,7,2011
Monaragala,1,8,2011
Mullaitivu,1,0,2011
Nuwara Eliya,1,2,2011
Polonnaruwa,1,9,2011
Puttalam,1,8,2011
Ratnapura,1,27,2011
Trincomalee,1,11,2011
Vavuniya,1,7,2011
Ampara,2,12,2011
Anuradhapura,2,49,2011
Badulla,2,6,2011
Batticaloa,2,5,2011
Colombo,2,20,2011
Galle,2,3,2011
Gampaha,2,37,2011
Hambantota,2,18,2011
Jaffna,2,2,2011
Kalutara,2,13,2011
Kandy,2,12,2011
Kegalle,2,19,2011
Kilinochchi,2,1,2011
Kurunegala,2,260,2011
Mannar,2,3,2011
Matale,2,13,2011
Matara,2,12,2011
Monaragala,2,13,2011
Mullaitivu,2,2,2011
Nuwara Eliya,2,5,2011
Polonnaruwa,2,16,2011
Puttalam,2,5,2011
Ratnapura,2,21,2011
Trincomalee,2,19,2011
Vavuniya,2,9,2011
Ampara,3,13,2011
Anuradhapura,3,97,2011
Badulla,3,11,2011
Batticaloa,3,5,2011
Colombo,3,51,2011
Galle,3,18,2011
Gampaha,3,155,2011
Hambantota,3,132,2011
Jaffna,3,0,2011
Kalutara,3,42,2011
Kandy,3,16,2011
Kegalle,3,57,2011
Kilinochchi,3,0,2011
Kurunegala,3,745,2011
Mannar,3,5,2011
Matale,3,30,2011
Matara,3,84,2011
Monaragala,3,20,2011
Mullaitivu,3,1,2011
Nuwara Eliya,3,8,2011
Polonnaruwa,3,13,2011
Puttalam,3,30,2011
Ratnapura,3,57,2011
Trincomalee,3,19,2011
Vavuniya,3,15,2011
Ampara,4,12,2011
Anuradhapura,4,16,2011
Badulla,4,7,2011
Batticaloa,4,6,2011
Colombo,4,45,2011
Galle,4,22,2011
Gampaha,4,54,2011
Hambantota,4,98,2011
Jaffna,4,0,2011
Kalutara,4,38,2011
Kandy,4,17,2011
Kegalle,4,40,2011
Kilinochchi,4,0,2011
Kurunegala,4,94,2011
Mannar,4,0,2011
Matale,4,26,2011
Matara,4,38,2011
Monaragala,4,76,2011
Mullaitivu,4,0,2011
Nuwara Eliya,4,4,2011
Polonnaruwa,4,19,2011
Puttalam,4,29,2011
Ratnapura,4,111,2011
Trincomalee,4,9,2011
Vavuniya,4,0,2011
Ampara,5,7,2011
Anuradhapura,5,33,2011
Badulla,5,4,2011
Batticaloa,5,2,2011
Colombo,5,42,2011
Galle,5,23,2011
Gampaha,5,31,2011
Hambantota,5,97,2011
Jaffna,5,0,2011
Kalutara,5,20,2011
Kandy,5,28,2011
Kegalle,5,38,2011
Kilinochchi,5,1,2011
Kurunegala,5,156,2011
Mannar,5,0,2011
Matale,5,26,2011
Matara,5,35,2011
Monaragala,5,32,2011
Mullaitivu,5,2,2011
Nuwara Eliya,5,5,2011
Polonnaruwa,5,10,2011
Puttalam,5,6,2011
Ratnapura,5,62,2011
Trincomalee,5,10,2011
Vavuniya,5,0,2011
Ampara,6,3,2011
Anuradhapura,6,11,2011
Badulla,6,6,2011
Batticaloa,6,2,2011
Colombo,6,44,2011
Galle,6,22,2011
Gampaha,6,44,2011
Hambantota,6,51,2011
Jaffna,6,0,2011
Kalutara,6,40,2011
Kandy,6,17,2011
Kegalle,6,65,2011
Kilinochchi,6,0,2011
Kurunegala,6,72,2011
Mannar,6,0,2011
Matale,6,26,2011
Matara,6,15,2011
Monaragala,6,11,2011
Mullaitivu,6,0,2011
Nuwara Eliya,6,4,2011
Polonnaruwa,6,5,2011
Puttalam,6,10,2011
Ratnapura,6,33,2011
Trincomalee,6,12,2011
Vavuniya,6,4,2011
Ampara,7,0,2011
Anuradhapura,7,4,2011
Badulla,7,19,2011
Batticaloa,7,3,2011
Colombo,7,38,2011
Galle,7,13,2011
Gampaha,7,39,2011
Hambantota,7,16,2011
Jaffna,7,0,2011
Kalutara,7,29,2011
Kandy,7,21,2011
Kegalle,7,21,2011
Kilinochchi,7,0,2011
Kurunegala,7,31,2011
Mannar,7,1,2011
Matale,7,13,2011
Matara,7,11,2011
Monaragala,7,9,2011
Mullaitivu,7,0,2011
Nuwara Eliya,7,6,2011
Polonnaruwa,7,3,2011
Puttalam,7,9,2011
Ratnapura,7,53,2011
Trincomalee,7,4,2011
Vavuniya,7,3,2011
Ampara,8,0,2011
Anuradhapura,8,2,2011
Badulla,8,10,2011
Batticaloa,8,3,2011
Colombo,8,20,2011
Galle,8,14,2011
Gampaha,8,18,2011
Hambantota,8,16,2011
Jaffna,8,0,2011
Kalutara,8,22,2011
Kandy,8,15,2011
Kegalle,8,12,2011
Kilinochchi,8,0,2011
Kurunegala,8,27,2011
Mannar,8,1,2011
Matale,8,1,2011
Matara,8,10,2011
Monaragala,8,1,2011
Mullaitivu,8,0,2011
Nuwara Eliya,8,7,2011
Polonnaruwa,8,2,2011
Puttalam,8,2,2011
Ratnapura,8,50,2011
Trincomalee,8,3,2011
Vavuniya,8,6,2011
Ampara,9,3,2011
Anuradhapura,9,0,2011
Badulla,9,8,2011
Batticaloa,9,1,2011
Colombo,9,56,2011
Galle,9,60,2011
Gampaha,9,51,2011
Hambantota,9,39,2011
Jaffna,9,0,2011
Kalutara,9,76,2011
Kandy,9,13,2011
Kegalle,9,29,2011
Kilinochchi,9,0,2011
Kurunegala,9,51,2011
Mannar,9,0,2011
Matale,9,3,2011
Matara,9,92,2011
Monaragala,9,4,2011
Mullaitivu,9,0,2011
Nuwara Eliya,9,5,2011
Polonnaruwa,9,5,2011
Puttalam,9,15,2011
Ratnapura,9,73,2011
Trincomalee,9,1,2011
Vavuniya,9,0,2011
Ampara,10,0,2011
Anuradhapura,10,2,2011
Badulla,10,2,2011
Batticaloa,10,0,2011
Colombo,10,66,2011
Galle,10,15,2011
Gampaha,10,29,2011
Hambantota,10,9,2011
Jaffna,10,0,2011
Kalutara,10,53,2011
Kandy,10,12,2011
Kegalle,10,33,2011
Kilinochchi,10,0,2011
Kurunegala,10,48,2011
Mannar,10,0,2011
Matale,10,2,2011
Matara,10,28,2011
Monaragala,10,5,2011
Mullaitivu,10,0,2011
Nuwara Eliya,10,4,2011
Polonnaruwa,10,0,2011
Puttalam,10,4,2011
Ratnapura,10,54,2011
Trincomalee,10,4,2011
Vavuniya,10,1,2011
Ampara,11,2,2011
Anuradhapura,11,4,2011
Badulla,11,2,2011
Batticaloa,11,1,2011
Colombo,11,50,2011
Galle,11,16,2011
Gampaha,11,51,2011
Hambantota,11,14,2011
Jaffna,11,0,2011
Kalutara,11,27,2011
Kandy,11,13,2011
Kegalle,11,20,2011
Kilinochchi,11,0,2011
Kurunegala,11,47,2011
Mannar,11,0,2011
Matale,11,5,2011
Matara,11,29,2011
Monaragala,11,4,2011
Mullaitivu,11,2,2011
Nuwara Eliya,11,0,2011
Polonnaruwa,11,2,2011
Puttalam,11,4,2011
Ratnapura,11,62,2011
Trincomalee,11,6,2011
Vavuniya,11,1,2011
Ampara,12,13,2011
Anuradhapura,12,20,2011
Badulla,12,7,2011
Batticaloa,12,1,2011
Colombo,12,44,2011
Galle,12,36,2011
Gampaha,12,35,2011
Hambantota,12,21,2011
Jaffna,12,1,2011
Kalutara,12,32,2011
Kandy,12,21,2011
Kegalle,12,25,2011
Kilinochchi,12,0,2011
Kurunegala,12,28,2011
Mannar,12,3,2011
Matale,12,14,2011
Matara,12,31,2011
Monaragala,12,11,2011
Mullaitivu,12,3,2011
Nuwara Eliya,12,5,2011
Polonnaruwa,12,4,2011
Puttalam,12,3,2011
Ratnapura,12,42,2011
Trincomalee,12,6,2011
Vavuniya,12,8,2011
Ampara,1,7,2012
Anuradhapura,1,23,2012
Badulla,1,4,2012
Batticaloa,1,2,2012
Colombo,1,12,2012
Galle,1,9,2012
Gampaha,1,16,2012
Hambantota,1,9,2012
Jaffna,1,2,2012
Kalutara,1,16,2012
Kandy,1,14,2012
Kegalle,1,11,2012
Kilinochchi,1,1,2012
Kurunegala,1,19,2012
Mannar,1,3,2012
Matale,1,7,2012
Matara,1,12,2012
Monaragala,1,16,2012
Mullaitivu,1,2,2012
Nuwara Eliya,1,3,2012
Polonnaruwa,1,7,2012
Puttalam,1,5,2012
Ratnapura,1,47,2012
Trincomalee,1,6,2012
Vavuniya,1,7,2012
Ampara,2,2,2012
Anuradhapura,2,8,2012
Badulla,2,6,2012
Batticaloa,2,2,2012
Colombo,2,6,2012
Galle,2,8,2012
Gampaha,2,15,2012
Hambantota,2,6,2012
Jaffna,2,0,2012
Kalutara,2,18,2012
Kandy,2,4,2012
Kegalle,2,11,2012
Kilinochchi,2,1,2012
Kurunegala,2,19,2012
Mannar,2,2,2012
Matale,2,3,2012
Matara,2,10,2012
Monaragala,2,4,2012
Mullaitivu,2,0,2012
Nuwara Eliya,2,1,2012
Polonnaruwa,2,3,2012
Puttalam,2,5,2012
Ratnapura,2,32,2012
Trincomalee,2,8,2012
Vavuniya,2,7,2012
Ampara,3,6,2012
Anuradhapura,3,6,2012
Badulla,3,4,2012
Batticaloa,3,0,2012
Colombo,3,29,2012
Galle,3,26,2012
Gampaha,3,30,2012
Hambantota,3,5,2012
Jaffna,3,0,2012
Kalutara,3,45,2012
Kandy,3,6,2012
Kegalle,3,17,2012
Kilinochchi,3,1,2012
Kurunegala,3,12,2012
Mannar,3,7,2012
Matale,3,3,2012
Matara,3,26,2012
Monaragala,3,13,2012
Mullaitivu,3,0,2012
Nuwara Eliya,3,6,2012
Polonnaruwa,3,7,2012
Puttalam,3,8,2012
Ratnapura,3,24,2012
Trincomalee,3,7,2012
Vavuniya,3,0,2012
Ampara,4,0,2012
Anuradhapura,4,8,2012
Badulla,4,4,2012
Batticaloa,4,0,2012
Colombo,4,17,2012
Galle,4,16,2012
Gampaha,4,23,2012
Hambantota,4,6,2012
Jaffna,4,0,2012
Kalutara,4,20,2012
Kandy,4,2,2012
Kegalle,4,14,2012
Kilinochchi,4,0,2012
Kurunegala,4,12,2012
Mannar,4,0,2012
Matale,4,6,2012
Matara,4,17,2012
Monaragala,4,4,2012
Mullaitivu,4,0,2012
Nuwara Eliya,4,3,2012
Polonnaruwa,4,2,2012
Puttalam,4,2,2012
Ratnapura,4,13,2012
Trincomalee,4,2,2012
Vavuniya,4,0,2012
Ampara,5,4,2012
Anuradhapura,5,7,2012
Badulla,5,3,2012
Batticaloa,5,1,2012
Colombo,5,7,2012
Galle,5,5,2012
Gampaha,5,15,2012
Hambantota,5,12,2012
Jaffna,5,0,2012
Kalutara,5,19,2012
Kandy,5,6,2012
Kegalle,5,19,2012
Kilinochchi,5,0,2012
Kurunegala,5,23,2012
Mannar,5,1,2012
Matale,5,4,2012
Matara,5,18,2012
Monaragala,5,8,2012
Mullaitivu,5,0,2012
Nuwara Eliya,5,4,2012
Polonnaruwa,5,8,2012
Puttalam,5,3,2012
Ratnapura,5,18,2012
Trincomalee,5,9,2012
Vavuniya,5,0,2012
Ampara,6,2,2012
Anuradhapura,6,12,2012
Badulla,6,4,2012
Batticaloa,6,1,2012
Colombo,6,17,2012
Galle,6,14,2012
Gampaha,6,25,2012
Hambantota,6,14,2012
Jaffna,6,0,2012
Kalutara,6,28,2012
Kandy,6,4,2012
Kegalle,6,18,2012
Kilinochchi,6,1,2012
Kurunegala,6,19,2012
Mannar,6,0,2012
Matale,6,5,2012
Matara,6,8,2012
Monaragala,6,7,2012
Mullaitivu,6,0,2012
Nuwara Eliya,6,2,2012
Polonnaruwa,6,7,2012
Puttalam,6,3,2012
Ratnapura,6,29,2012
Trincomalee,6,6,2012
Vavuniya,6,2,2012
Ampara,7,2,2012
Anuradhapura,7,5,2012
Badulla,7,5,2012
Batticaloa,7,2,2012
Colombo,7,27,2012
Galle,7,4,2012
Gampaha,7,21,2012
Hambantota,7,6,2012
Jaffna,7,0,2012
Kalutara,7,13,2012
Kandy,7,8,2012
Kegalle,7,26,2012
Kilinochchi,7,0,2012
Kurunegala,7,5,2012
Mannar,7,2,2012
Matale,7,5,2012
Matara,7,9,2012
Monaragala,7,5,2012
Mullaitivu,7,1,2012
Nuwara Eliya,7,3,2012
Polonnaruwa,7,3,2012
Puttalam,7,0,2012
Ratnapura,7,37,2012
Trincomalee,7,1,2012
Vavuniya,7,1,2012
Ampara,8,2,2012
Anuradhapura,8,8,2012
Badulla,8,2,2012
Batticaloa,8,0,2012
Colombo,8,15,2012
Galle,8,13,2012
Gampaha,8,30,2012
Hambantota,8,3,2012
Jaffna,8,0,2012
Kalutara,8,22,2012
Kandy,8,8,2012
Kegalle,8,17,2012
Kilinochchi,8,0,2012
Kurunegala,8,8,2012
Mannar,8,2,2012
Matale,8,3,2012
Matara,8,8,2012
Monaragala,8,3,2012
Mullaitivu,8,0,2012
Nuwara Eliya,8,8,2012
Polonnaruwa,8,4,2012
Puttalam,8,5,2012
Ratnapura,8,38,2012
Trincomalee,8,1,2012
Vavuniya,8,1,2012
Ampara,9,2,2012
Anuradhapura,9,1,2012
Badulla,9,4,2012
Batticaloa,9,0,2012
Colombo,9,28,2012
Galle,9,10,2012
Gampaha,9,24,2012
Hambantota,9,2,2012
Jaffna,9,0,2012
Kalutara,9,26,2012
Kandy,9,7,2012
Kegalle,9,13,2012
Kilinochchi,9,0,2012
Kurunegala,9,8,2012
Mannar,9,2,2012
Matale,9,0,2012
Matara,9,34,2012
Monaragala,9,1,2012
Mullaitivu,9,0,2012
Nuwara Eliya,9,1,2012
Polonnaruwa,9,2,2012
Puttalam,9,5,2012
Ratnapura,9,20,2012
Trincomalee,9,0,2012
Vavuniya,9,0,2012
Ampara,10,0,2012
Anuradhapura,10,0,2012
Badulla,10,0,2012
Batticaloa,10,0,2012
Colombo,10,20,2012
Galle,10,8,2012
Gampaha,10,46,2012
Hambantota,10,3,2012
Jaffna,10,0,2012
Kalutara,10,29,2012
Kandy,10,7,2012
Kegalle,10,12,2012
Kilinochchi,10,0,2012
Kurunegala,10,10,2012
Mannar,10,1,2012
Matale,10,5,2012
Matara,10,21,2012
Monaragala,10,3,2012
Mullaitivu,10,0,2012
Nuwara Eliya,10,1,2012
Polonnaruwa,10,4,2012
Puttalam,10,3,2012
Ratnapura,10,17,2012
Trincomalee,10,1,2012
Vavuniya,10,0,2012
Ampara,11,1,2012
Anuradhapura,11,7,2012
Badulla,11,0,2012
Batticaloa,11,2,2012
Colombo,11,35,2012
Galle,11,18,2012
Gampaha,11,66,2012
Hambantota,11,19,2012
Jaffna,11,1,2012
Kalutara,11,45,2012
Kandy,11,13,2012
Kegalle,11,24,2012
Kilinochchi,11,0,2012
Kurunegala,11,16,2012
Mannar,11,3,2012
Matale,11,3,2012
Matara,11,31,2012
Monaragala,11,4,2012
Mullaitivu,11,0,2012
Nuwara Eliya,11,6,2012
Polonnaruwa,11,6,2012
Puttalam,11,2,2012
Ratnapura,11,20,2012
Trincomalee,11,3,2012
Vavuniya,11,0,2012
Ampara,12,1,2012
Anuradhapura,12,17,2012
Badulla,12,2,2012
Batticaloa,12,2,2012
Colombo,12,13,2012
Galle,12,17,2012
Gampaha,12,18,2012
Hambantota,12,15,2012
Jaffna,12,0,2012
Kalutara,12,26,2012
Kandy,12,6,2012
Kegalle,12,14,2012
Kilinochchi,12,0,2012
Kurunegala,12,9,2012
Mannar,12,4,2012
Matale,12,8,2012
Matara,12,19,2012
Monaragala,12,11,2012
Mullaitivu,12,0,2012
Nuwara Eliya,12,5,2012
Polonnaruwa,12,22,2012
Puttalam,12,1,2012
Ratnapura,12,20,2012
Trincomalee,12,2,2012
Vavuniya,12,1,2012
Ampara,1,3,2013
Anuradhapura,1,16,2013
Badulla,1,3,2013
Batticaloa,1,2,2013
Colombo,1,13,2013
Galle,1,11,2013
Gampaha,1,11,2013
Hambantota,1,17,2013
Jaffna,1,0,2013
Kalutara,1,34,2013
Kandy,1,2,2013
Kegalle,1,8,2013
Kilinochchi,1,1,2013
Kurunegala,1,10,2013
Mannar,1,4,2013
Matale,1,1,2013
Matara,1,9,2013
Monaragala,1,12,2013
Mullaitivu,1,2,2013
Nuwara Eliya,1,0,2013
Polonnaruwa,1,39,2013
Puttalam,1,2,2013
Ratnapura,1,16,2013
Trincomalee,1,12,2013
Vavuniya,1,5,2013
Ampara,2,1,2013
Anuradhapura,2,35,2013
Badulla,2,4,2013
Batticaloa,2,3,2013
Colombo,2,27,2013
Galle,2,6,2013
Gampaha,2,20,2013
Hambantota,2,37,2013
Jaffna,2,0,2013
Kalutara,2,27,2013
Kandy,2,8,2013
Kegalle,2,5,2013
Kilinochchi,2,0,2013
Kurunegala,2,9,2013
Mannar,2,0,2013
Matale,2,5,2013
Matara,2,14,2013
Monaragala,2,19,2013
Mullaitivu,2,2,2013
Nuwara Eliya,2,2,2013
Polonnaruwa,2,12,2013
Puttalam,2,2,2013
Ratnapura,2,40,2013
Trincomalee,2,4,2013
Vavuniya,2,3,2013
Ampara,3,1,2013
Anuradhapura,3,86,2013
Badulla,3,4,2013
Batticaloa,3,3,2013
Colombo,3,37,2013
Galle,3,42,2013
Gampaha,3,62,2013
Hambantota,3,41,2013
Jaffna,3,0,2013
Kalutara,3,81,2013
Kandy,3,13,2013
Kegalle,3,20,2013
Kilinochchi,3,4,2013
Kurunegala,3,83,2013
Mannar,3,2,2013
Matale,3,10,2013
Matara,3,42,2013
Monaragala,3,34,2013
Mullaitivu,3,5,2013
Nuwara Eliya,3,7,2013
Polonnaruwa,3,24,2013
Puttalam,3,5,2013
Ratnapura,3,70,2013
Trincomalee,3,27,2013
Vavuniya,3,13,2013
Ampara,4,2,2013
Anuradhapura,4,84,2013
Badulla,4,4,2013
Batticaloa,4,10,2013
Colombo,4,26,2013
Galle,4,48,2013
Gampaha,4,26,2013
Hambantota,4,16,2013
Jaffna,4,1,2013
Kalutara,4,34,2013
Kandy,4,6,2013
Kegalle,4,18,2013
Kilinochchi,4,4,2013
Kurunegala,4,33,2013
Mannar,4,3,2013
Matale,4,5,2013
Matara,4,21,2013
Monaragala,4,79,2013
Mullaitivu,4,1,2013
Nuwara Eliya,4,1,2013
Polonnaruwa,4,16,2013
Puttalam,4,3,2013
Ratnapura,4,50,2013
Trincomalee,4,3,2013
Vavuniya,4,10,2013
Ampara,5,10,2013
Anuradhapura,5,40,2013
Badulla,5,2,2013
Batticaloa,5,8,2013
Colombo,5,17,2013
Galle,5,11,2013
Gampaha,5,56,2013
Hambantota,5,19,2013
Jaffna,5,5,2013
Kalutara,5,25,2013
Kandy,5,10,2013
Kegalle,5,31,2013
Kilinochchi,5,0,2013
Kurunegala,5,35,2013
Mannar,5,1,2013
Matale,5,10,2013
Matara,5,19,2013
Monaragala,5,26,2013
Mullaitivu,5,12,2013
Nuwara Eliya,5,4,2013
Polonnaruwa,5,31,2013
Puttalam,5,2,2013
Ratnapura,5,32,2013
Trincomalee,5,1,2013
Vavuniya,5,14,2013
Ampara,6,3,2013
Anuradhapura,6,17,2013
Badulla,6,9,2013
Batticaloa,6,0,2013
Colombo,6,10,2013
Galle,6,16,2013
Gampaha,6,32,2013
Hambantota,6,8,2013
Jaffna,6,1,2013
Kalutara,6,27,2013
Kandy,6,4,2013
Kegalle,6,31,2013
Kilinochchi,6,0,2013
Kurunegala,6,18,2013
Mannar,6,1,2013
Matale,6,10,2013
Matara,6,2,2013
Monaragala,6,8,2013
Mullaitivu,6,6,2013
Nuwara Eliya,6,6,2013
Polonnaruwa,6,13,2013
Puttalam,6,2,2013
Ratnapura,6,18,2013
Trincomalee,6,2,2013
Vavuniya,6,2,2013
Ampara,7,5,2013
Anuradhapura,7,6,2013
Badulla,7,11,2013
Batticaloa,7,2,2013
Colombo,7,11,2013
Galle,7,11,2013
Gampaha,7,24,2013
Hambantota,7,9,2013
Jaffna,7,0,2013
Kalutara,7,27,2013
Kandy,7,9,2013
Kegalle,7,24,2013
Kilinochchi,7,0,2013
Kurunegala,7,14,2013
Mannar,7,0,2013
Matale,7,6,2013
Matara,7,7,2013
Monaragala,7,4,2013
Mullaitivu,7,3,2013
Nuwara Eliya,7,1,2013
Polonnaruwa,7,6,2013
Puttalam,7,7,2013
Ratnapura,7,18,2013
Trincomalee,7,6,2013
Vavuniya,7,1,2013
Ampara,8,5,2013
Anuradhapura,8,11,2013
Badulla,8,8,2013
Batticaloa,8,2,2013
Colombo,8,8,2013
Galle,8,16,2013
Gampaha,8,42,2013
Hambantota,8,6,2013
Jaffna,8,0,2013
Kalutara,8,31,2013
Kandy,8,5,2013
Kegalle,8,14,2013
Kilinochchi,8,0,2013
Kurunegala,8,41,2013
Mannar,8,2,2013
Matale,8,2,2013
Matara,8,8,2013
Monaragala,8,6,2013
Mullaitivu,8,5,2013
Nuwara Eliya,8,1,2013
Polonnaruwa,8,2,2013
Puttalam,8,9,2013
Ratnapura,8,32,2013
Trincomalee,8,3,2013
Vavuniya,8,1,2013
Ampara,9,4,2013
Anuradhapura,9,5,2013
Badulla,9,7,2013
Batticaloa,9,1,2013
Colombo,9,24,2013
Galle,9,30,2013
Gampaha,9,53,2013
Hambantota,9,6,2013
Jaffna,9,1,2013
Kalutara,9,45,2013
Kandy,9,8,2013
Kegalle,9,29,2013
Kilinochchi,9,0,2013
Kurunegala,9,25,2013
Mannar,9,2,2013
Matale,9,7,2013
Matara,9,10,2013
Monaragala,9,7,2013
Mullaitivu,9,1,2013
Nuwara Eliya,9,2,2013
Polonnaruwa,9,12,2013
Puttalam,9,8,2013
Ratnapura,9,23,2013
Trincomalee,9,1,2013
Vavuniya,9,1,2013
Ampara,10,2,2013
Anuradhapura,10,7,2013
Badulla,10,4,2013
Batticaloa,10,2,2013
Colombo,10,14,2013
Galle,10,6,2013
Gampaha,10,43,2013
Hambantota,10,2,2013
Jaffna,10,1,2013
Kalutara,10,26,2013
Kandy,10,4,2013
Kegalle,10,50,2013
Kilinochchi,10,0,2013
Kurunegala,10,26,2013
Mannar,10,0,2013
Matale,10,3,2013
Matara,10,11,2013
Monaragala,10,1,2013
Mullaitivu,10,1,2013
Nuwara Eliya,10,5,2013
Polonnaruwa,10,6,2013
Puttalam,10,2,2013
Ratnapura,10,40,2013
Trincomalee,10,0,2013
Vavuniya,10,0,2013
Ampara,11,4,2013
Anuradhapura,11,8,2013
Badulla,11,4,2013
Batticaloa,11,1,2013
Colombo,11,22,2013
Galle,11,25,2013
Gampaha,11,96,2013
Hambantota,11,9,2013
Jaffna,11,0,2013
Kalutara,11,47,2013
Kandy,11,9,2013
Kegalle,11,62,2013
Kilinochchi,11,0,2013
Kurunegala,11,78,2013
Mannar,11,0,2013
Matale,11,7,2013
Matara,11,20,2013
Monaragala,11,5,2013
Mullaitivu,11,0,2013
Nuwara Eliya,11,2,2013
Polonnaruwa,11,11,2013
Puttalam,11,2,2013
Ratnapura,11,55,2013
Trincomalee,11,2,2013
Vavuniya,11,1,2013
Ampara,12,4,2013
Anuradhapura,12,30,2013
Badulla,12,3,2013
Batticaloa,12,10,2013
Colombo,12,13,2013
Galle,12,39,2013
Gampaha,12,24,2013
Hambantota,12,11,2013
Jaffna,12,1,2013
Kalutara,12,50,2013
Kandy,12,21,2013
Kegalle,12,23,2013
Kilinochchi,12,1,2013
Kurunegala,12,22,2013
Mannar,12,0,2013
Matale,12,8,2013
Matara,12,14,2013
Monaragala,12,10,2013
Mullaitivu,12,0,2013
Nuwara Eliya,12,3,2013
Polonnaruwa,12,15,2013
Puttalam,12,5,2013
Ratnapura,12,41,2013
Trincomalee,12,2,2013
Vavuniya,12,0,2013
Ampara,1,3,2014
